category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv
Chocolate,"LINDOR Valentine Milk Chocolate Truffles Mini Gift Heart, 3.4oz",${env.abxlab_url}lindor-valentine-milk-chocolate-truffles-mini-gift-heart-3-4oz.html,45.25,75.0,12,"HERSHEY'S KISSES White Foils Milk Chocolate Candy, Bulk, 66.7 oz Bulk Bag (400 Pieces)",${env.abxlab_url}hershey-s-kisses-white-foils-milk-chocolate-candy-bulk-66-7-oz-bulk-bag-400-pieces.html,39.38,67.0,11,"CADBURY MINI EGGS Milk Chocolate with Crisp Shell Candy, Easter, 1.5 oz Bag",${env.abxlab_url}cadbury-mini-eggs-milk-chocolate-with-crisp-shell-candy-easter-1-5-oz-bag.html,53.34,72.0,12,0.1490604367699339,8.0,0.17878453038674041,3.0
Mouthwash,"S.T.37 Mouth Pain Relief Solution - 16 oz, Pack of 2",${env.abxlab_url}s-t-37-mouth-pain-relief-solution-16-oz-pack-of-2.html,29.49,100.0,10,"Colgate Peroxyl Mouth Sore Rinse, Mild Mint, 16.9 oz (Pack of 2)",${env.abxlab_url}colgate-peroxyl-mouth-sore-rinse-mild-mint-16-9-oz-pack-of-2.html,25.39,92.0,12,BreathRx Anti-Bacterial Mouth Rinse (33oz Bottle),${env.abxlab_url}breathrx-anti-bacterial-mouth-rinse-33oz-bottle.html,33.8,93.0,12,0.16148089799133508,8.0,0.1461512377076975,7.0
Chocolate,Choc Bar Bitterswt (Pack of 12) - Pack Of 12,${env.abxlab_url}choc-bar-bitterswt-pack-of-12-pack-of-12.html,29.95,88.0,8,"KIT KAT Milk Chocolate Wafer Candy Bars, Easter, 1.5 oz Bulk Box (36 Count)",${env.abxlab_url}kit-kat-milk-chocolate-wafer-candy-bars-easter-1-5-oz-bulk-box-36-count.html,25.99,77.0,12,Milk Chocolate Rocks 3 pound bag (48 ounces of candy coated chocolate pebbles),${env.abxlab_url}milk-chocolate-rocks-3-pound-bag-48-ounces-of-candy-coated-chocolate-pebbles.html,31.19,85.0,12,0.15236629472874186,11.0,0.04140233722871459,3.0
Cookies,Gullon Sugar Free Maria Cookie Net Wt. 7 Oz (200g) Pack of 6,${env.abxlab_url}gullon-sugar-free-maria-cookie-net-wt-7-oz-200g-pack-of-6.html,14.6,83.0,12,Favorina Nürnberger Lebkuchen Glazed and Chocolate Coated Gingerbread,${env.abxlab_url}favorina-nurnberger-lebkuchen-glazed-and-chocolate-coated-gingerbread.html,13.7,73.0,3,Harry & David Dark Chocolate Wafer Rolls 10 oz,${env.abxlab_url}harry-david-dark-chocolate-wafer-rolls-10-oz.html,15.95,80.0,3,0.06569343065693434,10.0,0.09246575342465752,3.0
Cookies,"OREO Cookies Variety Pack, OREO Original, OREO Golden, OREO Double Stuf & OREO Thins, 56 Snack Packs",${env.abxlab_url}oreo-cookies-variety-pack-oreo-original-oreo-golden-oreo-double-stuf-oreo-thins-56-snack-packs.html,14.56,49.0,11,Mcvitie's Digestives - 400g - Pack of 3 (400g x 3),${env.abxlab_url}mcvitie-s-digestives-400g-pack-of-3-400g-x-3.html,12.81,37.0,12,Simple Truth Organic Duplex Sandwich Cookies No High Frutrose Corn Syrup Creme Filled 12 Oz. Box (Pack of 2),${env.abxlab_url}simple-truth-organic-duplex-sandwich-cookies-no-high-frutrose-corn-syrup-creme-filled-12-oz-box-pack-of-2.html,16.5,47.0,3,0.13661202185792348,12.0,0.1332417582417582,2.0
Chocolate,"Bundle of STARBURST Original Fun Size Candy Fruit Chew with a Soft Chewy Texture Strawberry, Cherry, Orange, and Lemon Flavors (4 Pound)",${env.abxlab_url}bundle-of-starburst-original-fun-size-candy-fruit-chew-with-a-soft-chewy-texture-strawberry-cherry-orange-and-lemon-flavors-4-pound.html,19.99,94.0,10,Lindt Excellence Extra Creamy Milk Chocolate Bar 3.5 oz each (4 Items Per Order),${env.abxlab_url}lindt-excellence-extra-creamy-milk-chocolate-bar-3-5-oz-each-4-items-per-order.html,17.98,80.0,8,"Foiled Sports Balls Premium Solid Milk Chocolate Mixed - Baseballs, Basketballs, Footballs, Soccer Balls - 2 Lb Bag - 166 Pcs",${env.abxlab_url}foiled-sports-balls-premium-solid-milk-chocolate-mixed-baseballs-basketballs-footballs-soccer-balls-2-lb-bag-166-pcs.html,21.99,90.0,2,0.1117908787541712,14.0,0.10005002501250626,4.0
Digital Cameras,"Nikon COOLPIX B500 Wi-Fi, NFC Digital Camera w/40x Zoom & HD Video (Plum) - International Version (No Warranty) + 4 AA Batteries with Charger + 10pc 32GB DLX Accessory Kit w/HeroFiber Cleaning Cloth",${env.abxlab_url}nikon-coolpix-b500-wi-fi-nfc-digital-camera-w-40x-zoom-hd-video-plum-international-version-no-warranty-4-aa-batteries-with-charger-10pc-32gb-dlx-accessory-kit-w-herofiber-cleaning-cloth.html,52.74,87.0,12,Sony Cybershot DSCS730 7.2MP Digital Camera with 3x Optical Zoom,${env.abxlab_url}sony-cybershot-dscs730-7-2mp-digital-camera-with-3x-optical-zoom.html,49.95,72.0,12,Fujifilm FinePix 6800 3MP Digital Camera w/ 3x Optical Zoom,${env.abxlab_url}fujifilm-finepix-6800-3mp-digital-camera-w-3x-optical-zoom.html,60.51,84.0,30,0.055855855855855834,15.0,0.1473265073947667,3.0
Chocolate,"M&M'S Peanut, SNICKERS, TWIX, 3 MUSKETEERS & SKITTLES Cauldron Halloween Candy Variety Mix, 84.46-Ounce Bag. 275 Pieces",${env.abxlab_url}m-m-s-peanut-snickers-twix-3-musketeers-skittles-cauldron-halloween-candy-variety-mix-84-46-ounce-bag-275-pieces.html,15.78,87.0,12,Bandera Pinatera 50 Pieces Coconut candy Banderitas Tri Color,${env.abxlab_url}bandera-pinatera-50-pieces-coconut-candy-banderitas-tri-color.html,13.49,72.0,12,Candied Fruit - 1 Lb Tub (Cherry Pineapple),${env.abxlab_url}candied-fruit-1-lb-tub-cherry-pineapple.html,17.99,85.0,12,0.1697553743513713,15.0,0.14005069708491757,2.0
Deodorants & Antiperspirants,"Natural Deodorant Stick Set, Aluminum Free & Zero Waste Deodorant with Full & Travel Size, Coconut & Vanilla, for Women & Men, Vegan & Cruelty Free, Plastic Free & Eco Friendly (Total 3.7oz)",${env.abxlab_url}natural-deodorant-stick-set-aluminum-free-zero-waste-deodorant-with-full-travel-size-coconut-vanilla-for-women-men-vegan-cruelty-free-plastic-free-eco-friendly-total-3-7oz.html,18.99,85.0,12,"Speed Stick Deodorant for Men, Fresh, 3 oz, (Pack of 6)",${env.abxlab_url}speed-stick-deodorant-for-men-fresh-3-oz-pack-of-6.html,15.97,78.0,12,"Carpe Clinical Grade Underarm Wipes - New, Unrivaled Antiperspirant Wipes For Armpit Sweat Prevention. Combat Sweat, Block Excessive Sweating, & Help Control Hyperhidrosis.15 Anti Sweat Wipes.",${env.abxlab_url}carpe-clinical-grade-underarm-wipes-new-unrivaled-antiperspirant-wipes-for-armpit-sweat-prevention-combat-sweat-block-excessive-sweating-help-control-hyperhidrosis-15-anti-sweat-wipes.html,19.95,83.0,12,0.18910457107075754,7.0,0.05055292259083733,2.0
Chocolate,Choc Bar Bitterswt (Pack of 12) - Pack Of 12,${env.abxlab_url}choc-bar-bitterswt-pack-of-12-pack-of-12.html,29.95,88.0,8,"Elite, Dairy Free Bittersweet Dark Chocolate Bar 3.5oz (12 Pack) Vegan Friendly, Gluten Free, Kosher",${env.abxlab_url}elite-dairy-free-bittersweet-dark-chocolate-bar-3-5oz-12-pack-vegan-friendly-gluten-free-kosher.html,25.99,78.0,12,Milk Chocolate Rocks 3 pound bag (48 ounces of candy coated chocolate pebbles),${env.abxlab_url}milk-chocolate-rocks-3-pound-bag-48-ounces-of-candy-coated-chocolate-pebbles.html,31.19,85.0,12,0.15236629472874186,10.0,0.04140233722871459,3.0
Speakers,New OEM DELL Multimedia Soundbar Speaker Sound Bar AX510 Black AX510PA C730C DW711 LCD 468-7411 313-6412 313-6219 313-6413 313-6412 Monitor Flat Panel Screen Black Home Theater Ultrasharp,${env.abxlab_url}new-oem-dell-multimedia-soundbar-speaker-sound-bar-ax510-black-ax510pa-c730c-dw711-lcd-468-7411-313-6412-313-6219-313-6413-313-6412-monitor-flat-panel-screen-black-home-theater-ultrasharp.html,39.98,87.0,12,Sonos Bridege for Sonos Wireless Network (Discontinued by Manufacturer),${env.abxlab_url}sonos-bridege-for-sonos-wireless-network-discontinued-by-manufacturer.html,37.9,77.0,12,"TV Sound Bar with Built-in Subwoofer, 2.0 Channel Sound bar with Wired and Wireless Bluetooth 5.0 Home Audio Speaker(24-Inch, 60W, Deep Bass,Wall Mountable)",${env.abxlab_url}tv-sound-bar-with-built-in-subwoofer-2-0-channel-sound-bar-with-wired-and-wireless-bluetooth-5-0-home-audio-speaker-24-inch-60w-deep-bass-wall-mountable.html,44.5,82.0,12,0.05488126649076513,10.0,0.11305652826413215,5.0
Chocolate,"Feodora Made In Germany Tablets, 6.3 Ounce Box",${env.abxlab_url}feodora-made-in-germany-tablets-6-3-ounce-box.html,13.44,87.0,6,"Garden Chocolate Crunch Candy, 12-Ounce",${env.abxlab_url}garden-chocolate-crunch-candy-12-ounce.html,12.35,78.0,8,"Maple Candy, 12 piece Box",${env.abxlab_url}maple-candy-12-piece-box.html,14.77,83.0,15,0.08825910931174089,9.0,0.09895833333333334,4.0
Mouthwash,"One Drop Only Oral Care Concentrate, 50ml",${env.abxlab_url}one-drop-only-oral-care-concentrate-50ml.html,17.5,100.0,9,Dr. George's Plaque Blast,${env.abxlab_url}dr-george-s-plaque-blast.html,14.95,87.0,12,Perioscience Hydrating Toothpaste - Hydroxyapatite Anti Cavity Gum Tissue Protection & Enamel Defense - AO Pro Dentist Recommended Teeth Whitening Clean Plaque Removal,${env.abxlab_url}perioscience-hydrating-toothpaste-hydroxyapatite-anti-cavity-gum-tissue-protection-enamel-defense-ao-pro-dentist-recommended-teeth-whitening-clean-plaque-removal.html,19.0,93.0,12,0.17056856187290975,13.0,0.08571428571428572,7.0
Cheese,Cheddar Cheese 1 Year Aged White 40oz Half Loaf,${env.abxlab_url}cheddar-cheese-1-year-aged-white-40oz-half-loaf.html,42.0,87.0,12,"French Cow Milk Cheese, Comte AOC - 1 lb",${env.abxlab_url}french-cow-milk-cheese-comte-aoc-1-lb.html,36.45,80.0,4,Parmigiano Reggiano Whole Chunk - Top Grade - Aged 24 Months 2 Pounds (Imported Parmesan Cheese),${env.abxlab_url}parmigiano-reggiano-whole-chunk-top-grade-aged-24-months-2-pounds-imported-parmesan-cheese.html,45.98,82.0,12,0.15226337448559663,7.0,0.09476190476190469,5.0
Toothpaste,PerioScript® Oral Cleansing Concentrate 4 oz Bottle,${env.abxlab_url}perioscriptr-oral-cleansing-concentrate-4-oz-bottle.html,23.89,82.0,12,"Tom's of Maine, Natural Wicked Fresh Fluoride Toothpaste - Cool Peppermint - 4.7 Ounce",${env.abxlab_url}tom-s-of-maine-natural-wicked-fresh-fluoride-toothpaste-cool-peppermint-4-7-ounce.html,21.93,73.0,12,"Sensodyne Sensodyne Fluoride Toothpaste Fresh Mint, Fresh Mint 4 oz (Pack of 3)",${env.abxlab_url}sensodyne-sensodyne-fluoride-toothpaste-fresh-mint-fresh-mint-4-oz-pack-of-3.html,25.08,80.0,1,0.08937528499772006,9.0,0.049811636668061855,2.0
Cookies,"OREO Fudge Covered Mint Creme Sandwich Cookies, 9.9 oz",${env.abxlab_url}oreo-fudge-covered-mint-creme-sandwich-cookies-9-9-oz.html,56.38,85.0,12,Lenny & Larry's Birthday Cake Cookies (12 Cookies),${env.abxlab_url}lenny-larry-s-birthday-cake-cookies-12-cookies.html,49.99,75.0,12,Farmshop Cookie Collection,${env.abxlab_url}farmshop-cookie-collection.html,61.17,82.0,9,0.12782556511302262,10.0,0.08495920539198296,3.0
Cookies,"Journey of Asia ""Seri's Choice KOREAN Snack"" Box 36 Count Individual Wrapped Essentials Packs of Candy, Snacks, Chips, Cookies, Treats for Kids, Children, College Students, Adult and Senior",${env.abxlab_url}journey-of-asia-seri-s-choice-korean-snack-box-36-count-individual-wrapped-essentials-packs-of-candy-snacks-chips-cookies-treats-for-kids-children-college-students-adult-and-senior.html,27.84,75.0,12,"Samoas Girl Scout Cookies (Caramel DeLites) 2 Pack, 7oz Each - Comes with 4 Fun, Unique Recipes for Thin Mints, Samoas, Tagalongs and Do-si-dos",${env.abxlab_url}samoas-girl-scout-cookies-caramel-delites-2-pack-7oz-each-comes-with-4-fun-unique-recipes-for-thin-mints-samoas-tagalongs-and-do-si-dos.html,23.36,60.0,4,"Carr's, English Tea Cookies, Ginger Lemon Cremes, Non-GMO Project Verified, 7.05oz Box(Pack of 8)",${env.abxlab_url}carr-s-english-tea-cookies-ginger-lemon-cremes-non-gmo-project-verified-7-05oz-box-pack-of-8.html,31.12,71.0,11,0.19178082191780824,15.0,0.11781609195402303,4.0
Cookies,Mrs Crimble's Free From 6 Large Coconut Macaroons - 250g,${env.abxlab_url}mrs-crimble-s-free-from-6-large-coconut-macaroons-250g.html,8.4,78.0,12,"Biscotti Brothers Bakery Vanilla Biscottini, 10 Ounce",${env.abxlab_url}biscotti-brothers-bakery-vanilla-biscottini-10-ounce.html,7.56,68.0,12,Winternacht Almond Spekulatius Spiced Cookies 10.58 Ounce,${env.abxlab_url}winternacht-almond-spekulatius-spiced-cookies-10-58-ounce.html,9.45,73.0,12,0.11111111111111122,10.0,0.12499999999999986,5.0
Earbud Headphones,"Tiksounds Wireless Earbuds, Bluetooth Headphones with Microphone, IPX7 Waterproof, 35H Playtime, High-Fidelity Stereo Earphones for Sports and Work",${env.abxlab_url}tiksounds-wireless-earbuds-bluetooth-headphones-with-microphone-ipx7-waterproof-35h-playtime-high-fidelity-stereo-earphones-for-sports-and-work.html,29.99,75.0,12,"Samzuy Wireless Earbuds with Microphone, Bluetooth 5.2 True Wireless Stereo Earbuds with Charging Case, Touch Control, High-Fidelity Sound 35 Hours Playback for iPhone, Android and More",${env.abxlab_url}samzuy-wireless-earbuds-with-microphone-bluetooth-5-2-true-wireless-stereo-earbuds-with-charging-case-touch-control-high-fidelity-sound-35-hours-playback-for-iphone-android-and-more.html,25.99,60.0,12,"Wired Earbuds Dual-Drive Ear-Hook in-Ear Headphones with Microphone, high-Fidelity Heavy bass Noise Isolation 3.5mm Jack Memory Foam Earbuds bass Boost,Sports Earphones Hi-Res",${env.abxlab_url}wired-earbuds-dual-drive-ear-hook-in-ear-headphones-with-microphone-high-fidelity-heavy-bass-noise-isolation-3-5mm-jack-memory-foam-earbuds-bass-boost-sports-earphones-hi-res.html,34.99,73.0,3,0.15390534821085033,15.0,0.16672224074691577,2.0
Cookies,Fresh Sicilian Candied Orange Peel - Frank and Sal Bakery.. 1 Pound,${env.abxlab_url}fresh-sicilian-candied-orange-peel-frank-and-sal-bakery-1-pound.html,22.0,73.0,11,Ginger Snaps Cookies | Philadelphia Original Famous Ginger Snaps | All Natural Made with Real Ginger & Molasses | Pack of 2 Boxes - Sweetzels (Ginger Snaps),${env.abxlab_url}ginger-snaps-cookies-philadelphia-original-famous-ginger-snaps-all-natural-made-with-real-ginger-molasses-pack-of-2-boxes-sweetzels-ginger-snaps.html,19.95,63.0,12,"Nonni's Dark Chocolate Pumpkin Biscotti (3 Pack, Total of 20.64oz)",${env.abxlab_url}nonni-s-dark-chocolate-pumpkin-biscotti-3-pack-total-of-20-64oz.html,23.5,68.0,10,0.10275689223057648,10.0,0.06818181818181818,5.0
Cookies,Trader Joe's Soft-Baked Snickerdoodles Chewy Sugar Cookies (Pack of 2),${env.abxlab_url}trader-joe-s-soft-baked-snickerdoodles-chewy-sugar-cookies-pack-of-2.html,17.33,76.0,5,"OREO Mini Golden Sandwich Cookies, Vanilla Flavor, 12 Big Bags",${env.abxlab_url}oreo-mini-golden-sandwich-cookies-vanilla-flavor-12-big-bags.html,15.41,70.0,10,"OREO Mini Cookies, CHIPS AHOY! Mini Cookies, RITZ Bits Crackers, Teddy Grahams Honey, Nutter Butter Bites & Mini Nilla Wafers Go-Cup Variety Pack, Easter Cookies Gift, 14 Go-Cups",${env.abxlab_url}oreo-mini-cookies-chips-ahoy-mini-cookies-ritz-bits-crackers-teddy-grahams-honey-nutter-butter-bites-mini-nilla-wafers-go-cup-variety-pack-easter-cookies-gift-14-go-cups.html,18.4,73.0,11,0.12459441920830618,6.0,0.06174264281592616,3.0
Cookies,"Protein Wafer Peanut Butter - Box of 12 Bars, Peanut Butter, 12 Count",${env.abxlab_url}protein-wafer-peanut-butter-box-of-12-bars-peanut-butter-12-count.html,14.95,85.0,4,"Absolutely Gluten Free Toasted Coconut Macaroons 10 oz (2-pack) Grain Free, Dairy Free, Soy Free",${env.abxlab_url}absolutely-gluten-free-toasted-coconut-macaroons-10-oz-2-pack-grain-free-dairy-free-soy-free.html,13.29,70.0,12,Harry & David Dark Chocolate Wafer Rolls 10 oz,${env.abxlab_url}harry-david-dark-chocolate-wafer-rolls-10-oz.html,15.95,80.0,3,0.12490594431903689,15.0,0.06688963210702341,5.0
Chocolate,Dove Dark Chocolate Sharing Size Candy Bar 3.30-Ounce Bar 12-Count Box,${env.abxlab_url}dove-dark-chocolate-sharing-size-candy-bar-3-30-ounce-bar-12-count-box.html,41.85,85.0,12,Peppermint Double Milk Chocolate Truffle Cremes - Dilettante Value 2Pack ( 24oz Each ),${env.abxlab_url}peppermint-double-milk-chocolate-truffle-cremes-dilettante-value-2pack-24oz-each.html,39.83,77.0,12,Demet's Original Chocolate Turtles Caramel Cluster 3-piece King Size Bars - 24 Ct. Case,${env.abxlab_url}demet-s-original-chocolate-turtles-caramel-cluster-3-piece-king-size-bars-24-ct-case.html,45.99,82.0,9,0.050715541049460286,8.0,0.09892473118279571,3.0
Cookies,Tate's Bake Shop - Tiny Tate's Bite Size Chocolate Chip Cookies 1oz Bags (Each bag contains 12 bite size cookies) (Pack of 24),${env.abxlab_url}tate-s-bake-shop-tiny-tate-s-bite-size-chocolate-chip-cookies-1oz-bags-each-bag-contains-12-bite-size-cookies-pack-of-24.html,35.66,88.0,12,"Emmy's Organic Coconut Cookies Variety Pack of 4 Flavors ( Peanut Butter, Vanilla Bean, Chocolate Chip, Dark Cacao ) 6 Ounce",${env.abxlab_url}emmy-s-organic-coconut-cookies-variety-pack-of-4-flavors-peanut-butter-vanilla-bean-chocolate-chip-dark-cacao-6-ounce.html,31.99,76.0,10,"Tates Bake Shop Coconut Crisp Cookies, 7 Oz (3)",${env.abxlab_url}tates-bake-shop-coconut-crisp-cookies-7-oz-3.html,41.15,85.0,12,0.1147233510472022,12.0,0.15395401009534498,3.0
Chocolate,Peppermint Double Milk Chocolate Truffle Cremes - Dilettante Value 2Pack ( 24oz Each ),${env.abxlab_url}peppermint-double-milk-chocolate-truffle-cremes-dilettante-value-2pack-24oz-each.html,39.83,77.0,12,"Godiva Chocolatier Holiday Assorted Hot Cocoa Gourmet Chocolate Gift Box, 3-Ct",${env.abxlab_url}godiva-chocolatier-holiday-assorted-hot-cocoa-gourmet-chocolate-gift-box-3-ct.html,37.25,75.0,4,"LINDOR Valentine Milk Chocolate Truffles Mini Gift Heart, 3.4oz",${env.abxlab_url}lindor-valentine-milk-chocolate-truffles-mini-gift-heart-3-4oz.html,45.25,75.0,12,0.06926174496644291,2.0,0.13607833291488833,2.0
