category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv
Cookies,"Nabisco Nilla Wafers, 2 pk./15 oz.",${env.abxlab_url}nabisco-nilla-wafers-2-pk-15-oz.html,16.89,75.0,17,"Danisa Butter Cookies In Tin, 32 Oz",${env.abxlab_url}danisa-butter-cookies-in-tin-32-oz.html,15.04,67.0,11,Mulino Bianco Abbracci Cookies 12.3 oz each (2 Items Per Order),${env.abxlab_url}mulino-bianco-abbracci-cookies-12-3-oz-each-2-items-per-order.html,22.0,71.0,9,0.12300531914893627,8.0,0.30254588513913555,4.0
Chocolate,Lindt Lindor Orange Milk Chocolate Truffles 200G,${env.abxlab_url}lindt-lindor-orange-milk-chocolate-truffles-200g.html,23.1,85.0,11,"REESE'S THiNS Milk Chocolate Peanut Butter Cups Candy, Holiday, 7.37 oz, Share Pack",${env.abxlab_url}reese-s-thins-milk-chocolate-peanut-butter-cups-candy-holiday-7-37-oz-share-pack.html,18.53,77.0,6,Double Dipped Peanuts Milk Chocolate Covered Peanuts 5 pounds,${env.abxlab_url}double-dipped-peanuts-milk-chocolate-covered-peanuts-5-pounds.html,32.6,82.0,12,0.24662709120345386,8.0,0.4112554112554112,3.0
Mouthwash,"TheraBreath Fresh Breath Oral Rinse, Mild Mint, 16 Ounce Bottle (Pack of 2) and 24 Hour Healthy Smile Dentist Formulated Oral Rinse, 16 Ounce (Pack of 2)",${env.abxlab_url}therabreath-fresh-breath-oral-rinse-mild-mint-16-ounce-bottle-pack-of-2-and-24-hour-healthy-smile-dentist-formulated-oral-rinse-16-ounce-pack-of-2.html,32.78,100.0,1,"ACT Alcohol Free Anticavity Fluoride Rinse, Cinnamon - 18 Fl Oz, (Pack of 4)",${env.abxlab_url}act-alcohol-free-anticavity-fluoride-rinse-cinnamon-18-fl-oz-pack-of-4.html,25.81,80.0,2,Mouthwash Dr.nona Products,${env.abxlab_url}mouthwash-dr-nona-products.html,35.95,93.0,3,0.27005036807438987,20.0,0.09670530811470414,7.0
Chocolate,Frey (1) Box Ovation Break-A-Parts Ball/Orange Shaped Holiday Candy - Milk Chocolate Raspberry Flavor - Splits Into 20 Pieces - Net Wt. 5.53 oz,${env.abxlab_url}frey-1-box-ovation-break-a-parts-ball-orange-shaped-holiday-candy-milk-chocolate-raspberry-flavor-splits-into-20-pieces-net-wt-5-53-oz.html,10.99,83.0,12,Madelaine Solid Milk Chocolate Golf Ball Party Favors Wrapped In Italian Foil (1/2 LB),${env.abxlab_url}madelaine-solid-milk-chocolate-golf-ball-party-favors-wrapped-in-italian-foil-1-2-lb.html,9.35,76.0,10,Cadbury Curly Wurly Chocolate Chewy Bars | Total 6 bars of British Chocolate Candy,${env.abxlab_url}cadbury-curly-wurly-chocolate-chewy-bars-total-6-bars-of-british-chocolate-candy.html,11.75,80.0,12,0.17540106951871665,7.0,0.06915377616014556,3.0
Cookies,Butter Pecan Meltaways 20oz,${env.abxlab_url}butter-pecan-meltaways-20oz.html,27.99,80.0,8,Linden's Fudge Chip Cookies 3 Cookies Per Pack (Pack of 18),${env.abxlab_url}linden-s-fudge-chip-cookies-3-cookies-per-pack-pack-of-18.html,23.98,67.0,12,Krunchy Melts Chocolate Meringue Cookies 4 oz Tub (Pack of 2),${env.abxlab_url}krunchy-melts-chocolate-meringue-cookies-4-oz-tub-pack-of-2.html,30.99,76.0,9,0.16722268557130934,13.0,0.10718113612004287,4.0
Chocolate,Kinder Riegel Chocolate Sticks ( 10's ) by Ferrero,${env.abxlab_url}kinder-riegel-chocolate-sticks-10-s-by-ferrero.html,9.6,68.0,12,"Elmer Chocolate (1) 8oz Bag 20 pieces Creamy Caramels, Smooth Creme and Cocoa Truffle",${env.abxlab_url}elmer-chocolate-1-8oz-bag-20-pieces-creamy-caramels-smooth-creme-and-cocoa-truffle.html,7.85,38.0,11,"EVOLVED Chocolate Hazelnut Butter Keto Cups, 4.93-oz. Pouch (Count of 1), 7 Cups",${env.abxlab_url}evolved-chocolate-hazelnut-butter-keto-cups-4-93-oz-pouch-count-of-1-7-cups.html,14.13,65.0,12,0.2229299363057325,30.0,0.47187500000000016,3.0
Digital Cameras,Canon EOS 2000D DSLR Camera (Body Only) with Starter Accessory Bundle – Includes: SanDisk Ultra 32GB SDHC Memory Card + Camera Carrying Case + Body Cap Keeper + Cleaning Pen + Dust Blower + More,${env.abxlab_url}canon-eos-2000d-dslr-camera-body-only-with-starter-accessory-bundle-includes-sandisk-ultra-32gb-sdhc-memory-card-camera-carrying-case-body-cap-keeper-cleaning-pen-dust-blower-more.html,624.0,97.0,6,"Canon International EOS 4000D DSLR Camera with EF-S 18-55mm f/3.5-5.6 III Lens & Deluxe Accessory Bundle - Includes: SanDisk Ultra 128GB Memory Card, 2x Seller Replacement LPE10 Batteries, & Much More",${env.abxlab_url}canon-international-eos-4000d-dslr-camera-with-ef-s-18-55mm-f-3-5-5-6-iii-lens-deluxe-accessory-bundle-includes-sandisk-ultra-128gb-memory-card-2x-seller-replacement-lpe10-batteries-much-more.html,509.95,85.0,8,Canon Powershot SX70 20.3MP Digital Camera 65x Optical Zoom Lens 4K Video 3-inch LCD Tilt Screen (Black) + 32GB Bundle,${env.abxlab_url}canon-powershot-sx70-20-3mp-digital-camera-65x-optical-zoom-lens-4k-video-3-inch-lcd-tilt-screen-black-32gb-bundle.html,698.0,93.0,3,0.22364937738994023,12.0,0.11858974358974358,4.0
Chocolate,"Black Forest Fruit Snacks with Juicy Burst Centers, Fruit Medley, 4 oz",${env.abxlab_url}black-forest-fruit-snacks-with-juicy-burst-centers-fruit-medley-4-oz.html,8.41,70.0,2,"Palmer Valentine Double Crisp Chocolate Hearts, 4.5-oz. Bags 2 PACK",${env.abxlab_url}palmer-valentine-double-crisp-chocolate-hearts-4-5-oz-bags-2-pack.html,6.84,20.0,1,Leclerc Celebration Caramel Truffle Butter Cookies Made with Real Milk Chocolate 240g,${env.abxlab_url}leclerc-celebration-caramel-truffle-butter-cookies-made-with-real-milk-chocolate-240g.html,12.95,66.0,10,0.22953216374269012,50.0,0.5398335315101069,4.0
Chocolate,Goldenberg's Dark Chocolate Peanut Chews - 2 lbs of Fresh Delicious Assorted Bulk Mini Bars of Candy with Refrigerator Magnet,${env.abxlab_url}goldenberg-s-dark-chocolate-peanut-chews-2-lbs-of-fresh-delicious-assorted-bulk-mini-bars-of-candy-with-refrigerator-magnet.html,14.99,95.0,12,Madelaine Chocolate Advent Calendar With 24 Premium Milk Chocolates - 8 oz (227 grams),${env.abxlab_url}madelaine-chocolate-advent-calendar-with-24-premium-milk-chocolates-8-oz-227-grams.html,12.25,64.0,9,"LaetaFood St. Patrick's Day REESE'S Miniatures Peanut Butter Cups Milk Chocolate Candy, Green Gold Foil Wrap (2 Pound Bulk Pack)",${env.abxlab_url}laetafood-st-patrick-s-day-reese-s-miniatures-peanut-butter-cups-milk-chocolate-candy-green-gold-foil-wrap-2-pound-bulk-pack.html,19.99,90.0,2,0.22367346938775512,31.0,0.3335557038025349,5.0
Cookies,"Fieldstone Bakery Oatmeal Crème Pies, 2 Boxes, 48 Individually Wrapped Cookies",${env.abxlab_url}fieldstone-bakery-oatmeal-creme-pies-2-boxes-48-individually-wrapped-cookies.html,22.84,85.0,11,Milka Choco Wafer 150g (Pack of 2),${env.abxlab_url}milka-choco-wafer-150g-pack-of-2.html,20.0,70.0,8,"Meiji Hello Panda Variety Snack Peak Gift Box (4 flavors – 7 oz each): Chocolate, Caramel, Vanilla, and Strawberry",${env.abxlab_url}meiji-hello-panda-variety-snack-peak-gift-box-4-flavors-7-oz-each-chocolate-caramel-vanilla-and-strawberry.html,24.99,82.0,12,0.142,15.0,0.09413309982486859,3.0
